epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,994.161,1.33473,1.40417,1.23159,0.58929,0.37559,0.43366,0.24039,1.96697,2.12037,1.78493,0.00079705,0.00079705,0.00079705
43,1018.58,1.27875,1.43586,1.26836,0.43658,0.48672,0.42188,0.24275,1.93222,2.0277,1.79066,0.0007921,0.0007921,0.0007921
44,1041.27,1.3361,1.47488,1.28691,0.49236,0.40391,0.42404,0.24413,1.91922,1.98303,1.7564,0.00078715,0.00078715,0.00078715
45,1063.86,1.29346,1.38174,1.20215,0.45624,0.44476,0.41946,0.22672,1.93688,2.02583,1.78044,0.0007822,0.0007822,0.0007822
46,1086.1,1.28685,1.3606,1.19869,0.41601,0.47777,0.43397,0.24044,1.89904,1.99795,1.7872,0.00077725,0.00077725,0.00077725
47,1108.87,1.29628,1.41342,1.27319,0.43539,0.48392,0.44683,0.25379,1.90769,1.97697,1.78121,0.0007723,0.0007723,0.0007723
48,1131.15,1.27719,1.46674,1.22817,0.40804,0.47283,0.41149,0.23986,1.95731,2.06425,1.81191,0.00076735,0.00076735,0.00076735
49,1154.89,1.35055,1.54511,1.30419,0.41864,0.45318,0.43334,0.24331,1.93826,2.04063,1.79131,0.0007624,0.0007624,0.0007624
50,1177.47,1.25385,1.4618,1.21505,0.42006,0.48735,0.42563,0.24616,1.8996,2.03077,1.78097,0.00075745,0.00075745,0.00075745
51,1199.12,1.33403,1.32455,1.21018,0.43882,0.45862,0.41541,0.24074,1.9326,2.00177,1.8049,0.0007525,0.0007525,0.0007525
52,1220.96,1.28816,1.43154,1.24293,0.43066,0.47642,0.43057,0.24304,1.91062,1.98152,1.80011,0.00074755,0.00074755,0.00074755
53,1243.88,1.32672,1.40295,1.34246,0.43476,0.50161,0.44322,0.25216,1.88869,1.95892,1.81698,0.0007426,0.0007426,0.0007426
54,1266.79,1.24455,1.29465,1.19635,0.42655,0.51961,0.45,0.25033,1.97199,2.01252,1.88568,0.00073765,0.00073765,0.00073765
55,1289,1.21685,1.25621,1.17387,0.40632,0.50235,0.44882,0.25176,1.92372,1.98287,1.86327,0.0007327,0.0007327,0.0007327
56,1310.96,1.21085,1.26695,1.17151,0.42412,0.49653,0.43327,0.25141,1.8876,1.96215,1.81321,0.00072775,0.00072775,0.00072775
57,1333.76,1.18888,1.26872,1.16517,0.40928,0.5226,0.45147,0.25876,1.88752,1.92747,1.76592,0.0007228,0.0007228,0.0007228
58,1356.47,1.18847,1.22514,1.17602,0.41658,0.54549,0.44901,0.26041,1.84594,1.92538,1.74967,0.00071785,0.00071785,0.00071785
59,1379.03,1.18331,1.21331,1.15215,0.45116,0.4785,0.43407,0.25237,1.84739,1.92411,1.74057,0.0007129,0.0007129,0.0007129
60,1400.79,1.22226,1.28745,1.2022,0.44655,0.48718,0.441,0.24144,1.92667,1.97859,1.78327,0.00070795,0.00070795,0.00070795
61,1424.06,1.16583,1.24626,1.17406,0.44894,0.49272,0.44207,0.24658,1.89081,1.98164,1.75981,0.000703,0.000703,0.000703
62,1446.48,1.21039,1.28603,1.18365,0.48657,0.52562,0.4619,0.26091,1.89174,1.92048,1.77957,0.00069805,0.00069805,0.00069805
63,1469.44,1.25866,1.26008,1.1734,0.48002,0.5261,0.4554,0.24741,1.94376,1.93309,1.78914,0.0006931,0.0006931,0.0006931
64,1492.33,1.18711,1.28425,1.18534,0.5049,0.51279,0.455,0.25164,1.89807,1.95047,1.786,0.00068815,0.00068815,0.00068815
65,1513.66,1.17638,1.2178,1.14475,0.48241,0.45248,0.47095,0.25403,1.89511,1.91722,1.77609,0.0006832,0.0006832,0.0006832
66,1536.24,1.17746,1.2255,1.19092,0.4601,0.47248,0.47158,0.25077,1.93135,1.94671,1.81773,0.00067825,0.00067825,0.00067825
67,1557.49,1.18541,1.17978,1.13535,0.51186,0.45838,0.46885,0.25158,1.88826,1.93884,1.80697,0.0006733,0.0006733,0.0006733
68,1578.98,1.12373,1.1991,1.1423,0.45805,0.52795,0.46398,0.25271,1.89887,1.89539,1.79917,0.00066835,0.00066835,0.00066835
69,1601.08,1.20973,1.23818,1.20223,0.4396,0.5541,0.45416,0.2539,1.9158,1.90893,1.80274,0.0006634,0.0006634,0.0006634
70,1623.29,1.10534,1.14679,1.17395,0.41826,0.5059,0.46089,0.26062,1.8378,1.93351,1.70449,0.00065845,0.00065845,0.00065845
